id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno04068,FoxO signaling pathway,Environmental Information Processing,Signal transduction,2,82,132,9012,0.33859918,0.721007073,1.66518847,Slc2a4;Klf2,rno04068
rno04070,Phosphatidylinositol signaling system,Environmental Information Processing,Signal transduction,1,82,94,9012,0.57840237,0.745373323,1.169174883,Prkcg,rno04070
rno04071,Sphingolipid signaling pathway,Environmental Information Processing,Signal transduction,2,82,126,9012,0.318538036,0.721007073,1.744483159,Prkcg;RGD1564463,rno04071
rno04080,Neuroactive ligand-receptor interaction,Environmental Information Processing,Signaling molecules and interaction,4,82,390,9012,0.476919254,0.745373323,1.127204503,Npy;Mc5r;P2rx1;Gabrg3,rno04080
rno04120,Ubiquitin mediated proteolysis,Genetic Information Processing,"Folding, sorting and degradation",1,82,144,9012,0.734689502,0.804882767,0.763211382,Uba1y,rno04120
rno04142,Lysosome,Cellular Processes,Transport and catabolism,1,82,134,9012,0.708878574,0.793281421,0.820167455,Cd68,rno04142
rno04145,Phagosome,Cellular Processes,Transport and catabolism,3,82,183,9012,0.232248519,0.700820093,1.801679328,Itga2;Msr1;Itgam,rno04145
rno04146,Peroxisome,Cellular Processes,Transport and catabolism,1,82,88,9012,0.554385576,0.745373323,1.248891353,Mpv17l,rno04146
rno04150,mTOR signaling pathway,Environmental Information Processing,Signal transduction,1,82,158,9012,0.767067546,0.820603377,0.695585057,Prkcg,rno04150
rno04151,PI3K-Akt signaling pathway,Environmental Information Processing,Signal transduction,13,82,349,9012,1.40E-05,0.000480734,4.093787127,Lamc2;Ntrk2;Lama3;Itga2b;Reln;Itga2;Ereg;Spp1;Col4a2;Col4a1;Itgb6;Areg;Fn1,rno04151
rno04152,AMPK signaling pathway,Environmental Information Processing,Signal transduction,2,82,125,9012,0.315180676,0.721007073,1.758439024,Slc2a4;Pfkfb1,rno04152
rno04210,Apoptosis,Cellular Processes,Cell growth and death,1,82,135,9012,0.711567463,0.793281421,0.814092141,Csf2rb,rno04210
rno04218,Cellular senescence,Cellular Processes,Cell growth and death,1,82,181,9012,0.811993346,0.846441548,0.607195796,Hipk4,rno04218
rno04260,Cardiac muscle contraction,Organismal Systems,Circulatory system,1,82,87,9012,0.550253451,0.745373323,1.263246426,Cox7a1,rno04260
rno04270,Vascular smooth muscle contraction,Organismal Systems,Circulatory system,1,82,138,9012,0.7194878,0.793281421,0.796394486,Prkcg,rno04270
rno04310,Wnt signaling pathway,Environmental Information Processing,Signal transduction,2,82,172,9012,0.466303446,0.745373323,1.277935337,Prkcg;Frzb,rno04310
rno04350,TGF-beta signaling pathway,Environmental Information Processing,Signal transduction,2,82,110,9012,0.264543376,0.721007073,1.998226164,Grem1;Fbn1,rno04350
rno04360,Axon guidance,Organismal Systems,Development and regeneration,1,82,181,9012,0.811993346,0.846441548,0.607195796,Sema4g,rno04360
rno04370,VEGF signaling pathway,Environmental Information Processing,Signal transduction,2,82,58,9012,0.097567153,0.493575008,3.789739277,Prkcg;Ptgs2,rno04370
rno04371,Apelin signaling pathway,Environmental Information Processing,Signal transduction,2,82,136,9012,0.351879709,0.721007073,1.616212339,Spp1;Klf2,rno04371
rno04390,Hippo signaling pathway,Environmental Information Processing,Signal transduction,1,82,157,9012,0.764890359,0.820603377,0.700015535,Areg,rno04390
rno04510,Focal adhesion,Cellular Processes,Cellular community - eukaryotes,11,82,201,9012,1.81E-06,7.80E-05,6.01456134,Lamc2;Lama3;Itga2b;Reln;Itga2;Prkcg;Spp1;Col4a2;Col4a1;Itgb6;Fn1,rno04510
rno04512,ECM-receptor interaction,Environmental Information Processing,Signaling molecules and interaction,12,82,88,9012,1.65E-11,2.84E-09,14.98669623,Lamc2;Lama3;Gp1bb;Itga2b;Frem1;Reln;Itga2;Spp1;Col4a2;Col4a1;Itgb6;Fn1,rno04512
rno04514,Cell adhesion molecules,Environmental Information Processing,Signaling molecules and interaction,2,82,179,9012,0.487209756,0.745373323,1.227960213,Vcan;Itgam,rno04514
rno04540,Gap junction,Cellular Processes,Cellular community - eukaryotes,2,82,87,9012,0.187466038,0.698535951,2.526492851,Gja1;Prkcg,rno04540
rno04610,Complement and coagulation cascades,Organismal Systems,Immune system,5,82,87,9012,0.001136929,0.019555172,6.316232128,F3;C4b;C4bpa;Itgam;C4a,rno04610
rno04611,Platelet activation,Organismal Systems,Immune system,6,82,125,9012,0.000935199,0.017872698,5.275317073,Rasgrp2;Gp1bb;Itga2b;Itga2;Col3a1;P2rx1,rno04611
rno04613,Neutrophil extracellular trap formation,Organismal Systems,Immune system,3,82,180,9012,0.225028799,0.698535951,1.831707317,Itga2b;Prkcg;Itgam,rno04613
rno04620,Toll-like receptor signaling pathway,Organismal Systems,Immune system,1,82,93,9012,0.574490295,0.745373323,1.181746656,Spp1,rno04620
rno04625,C-type lectin receptor signaling pathway,Organismal Systems,Immune system,2,82,113,9012,0.274693247,0.721007073,1.945175912,Ptgs2;Clec1b,rno04625
rno04630,JAK-STAT signaling pathway,Environmental Information Processing,Signal transduction,2,82,160,9012,0.429357329,0.745373323,1.373780488,Il15;Csf2rb,rno04630
rno04640,Hematopoietic cell lineage,Organismal Systems,Immune system,4,82,90,9012,0.00899892,0.103187619,4.884552846,Gp1bb;Itga2b;Itga2;Itgam,rno04640
rno04650,Natural killer cell mediated cytotoxicity,Organismal Systems,Immune system,1,82,133,9012,0.706164926,0.793281421,0.826334128,Prkcg,rno04650
rno04657,IL-17 signaling pathway,Organismal Systems,Immune system,2,82,92,9012,0.204004479,0.698535951,2.389183457,Ptgs2;Ccl11,rno04657
rno04659,Th17 cell differentiation,Organismal Systems,Immune system,1,82,104,9012,0.615620515,0.760680821,1.056754221,Il1rap,rno04659
rno04666,Fc gamma R-mediated phagocytosis,Organismal Systems,Immune system,1,82,95,9012,0.582278912,0.745373323,1.156867779,Prkcg,rno04666
rno04668,TNF signaling pathway,Environmental Information Processing,Signal transduction,3,82,113,9012,0.083543723,0.493575008,2.917763868,Mmp14;Il15;Ptgs2,rno04668
rno04670,Leukocyte transendothelial migration,Organismal Systems,Immune system,3,82,118,9012,0.092285842,0.493575008,2.794129806,Mmp2;Prkcg;Itgam,rno04670
rno04672,Intestinal immune network for IgA production,Organismal Systems,Immune system,1,82,43,9012,0.325625709,0.721007073,2.555870675,Il15,rno04672
