id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno05022,Pathways of neurodegeneration - multiple diseases,Human Diseases,Neurodegenerative disease,4,84,473,9012,0.649823797,0.727667273,0.907278768,Nos2;Il1b;Cacna1d;Map2k3,rno05022
rno05030,Cocaine addiction,Human Diseases,Substance dependence,1,84,47,9012,0.356780654,0.559911246,2.282674772,Creb5,rno05030
rno05031,Amphetamine addiction,Human Diseases,Substance dependence,2,84,67,9012,0.128956034,0.420991601,3.202558635,Creb5;Cacna1d,rno05031
rno05034,Alcoholism,Human Diseases,Substance dependence,1,84,172,9012,0.803337427,0.814705409,0.623754153,Creb5,rno05034
rno05132,Salmonella infection,Human Diseases,Infectious disease: bacterial,2,84,252,9012,0.685945975,0.744840326,0.851473923,Il1b;Map2k3,rno05132
rno05133,Pertussis,Human Diseases,Infectious disease: bacterial,3,84,73,9012,0.030454687,0.198416903,4.409001957,Nos2;Il1b;Itgb2,rno05133
rno05134,Legionellosis,Human Diseases,Infectious disease: bacterial,2,84,56,9012,0.095767496,0.355000201,3.831632653,Il1b;Itgb2,rno05134
rno05135,Yersinia infection,Human Diseases,Infectious disease: bacterial,4,84,135,9012,0.037050727,0.222313094,3.178835979,Il1b;Itga4;Nfatc1;Map2k3,rno05135
rno05140,Leishmaniasis,Human Diseases,Infectious disease: parasitic,6,84,71,9012,4.83E-05,0.005196031,9.06639839,Nos2;Il1b;Itga4;Itgb2;Ptpn6;Fcgr3a,rno05140
rno05142,Chagas disease,Human Diseases,Infectious disease: parasitic,2,84,104,9012,0.252830586,0.489716901,2.063186813,Nos2;Il1b,rno05142
rno05143,African trypanosomiasis,Human Diseases,Infectious disease: parasitic,2,84,40,9012,0.053298706,0.271914782,5.364285714,Il1b;Icam1,rno05143
rno05144,Malaria,Human Diseases,Infectious disease: parasitic,5,84,55,9012,0.000150565,0.009810525,9.753246753,RGD1565355;Il1b;Icam1;Itgb2;Thbs4,rno05144
rno05145,Toxoplasmosis,Human Diseases,Infectious disease: parasitic,2,84,109,9012,0.270154653,0.514011066,1.968545216,Nos2;Map2k3,rno05145
rno05146,Amoebiasis,Human Diseases,Infectious disease: parasitic,4,84,96,9012,0.012192141,0.137963706,4.470238095,Nos2;Il1r2;Il1b;Itgb2,rno05146
rno05150,Staphylococcus aureus infection,Human Diseases,Infectious disease: bacterial,4,84,98,9012,0.013073987,0.140545365,4.379008746,Icam1;Itgb2;Selplg;Fcgr3a,rno05150
rno05152,Tuberculosis,Human Diseases,Infectious disease: bacterial,5,84,176,9012,0.024004341,0.175893237,3.04788961,Nos2;Il1b;Tlr1;Itgb2;Fcgr3a,rno05152
